phon	freq	word	grammar	id
pr5lIks	2.0	prolix	A	35861
pjubiz	2.0	pubes	N	36270
pjul	2.0	pule	V	36361
kwIf	2.0	quiff	N	36915
kwIn	2.0	quin	N	36921
kwIts	2.0	quits	A	36944
r{mkIn	2.0	ramekin	N	37180
rQzIn	2.0	rosin	N	39315
r#UndP	2.0	roundel	N	39389
run	2.0	rune	N	39606
s{s@fr{s	2.0	sassafras	N	40074
skQf	2.0	scoff	N	40388
skQns	2.0	sconce	N	40395
sk3f	2.0	scurf	N	40603
S{d@k	2.0	shaddock	N	41391
S{k5	2.0	shako	N	41432
SEkP	2.0	shekel	N	41563
S@l{k	2.0	shellac	N	41572
S5gVn	2.0	shogun	N	41726
Sr#Ik	2.0	shrike	N	41884
sIl@bVb	2.0	sillabub	N	42124
s3d#R	2.0	sirdar	N	42266
sk3l	2.0	skirl	N	42433
skju@	2.0	skua	N	42456
slVvH	2.0	sloven	N	42732
smuJ	2.0	smooch	V	42879
s5brIk1	2.0	sobriquet	N	43118
sQld@R	2.0	solder	N	43225
sQt	2.0	sot	N	43406
spiSi	2.0	specie	N	43658
splQ_	2.0	splodge	N	43882
spQr@n	2.0	sporran	N	43939
skwQb	2.0	squab	N	44068
skwi_i	2.0	squeegee	N	44128
stilI	2.0	stele	N	44513
stiv@d$R	2.0	stevedore	N	44577
t{r@ntEl@	2.0	tarantella	N	46350
tEn@n	2.0	tenon	N	46733
T1n	2.0	thane	N	46883
Tw{k	2.0	thwack	V	47278
tImp@nI	2.0	timpani	N	47440
tQrI@d$R	2.0	toreador	N	47773
tuk@n	2.0	toucan	N	47833
tr5T	2.0	troth	N	48430
twit	2.0	tweet	N	48749
Vln@	2.0	ulna	N	48902
Vmb@R	2.0	umber	A	48921
vEsp@R	2.0	vesper	N	50154
vItP	2.0	victual	V	50246
vIkjun@	2.0	vicuna	N	50249
v3tu	2.0	virtu	N	50346
w1nsk@t	2.0	wainscot	N	50624
wElkIn	2.0	welkin	N	51150
w{N	2.0	whang	N	51289
wI_@n	2.0	widgeon	N	51619
w5d	2.0	woad	N	51879
wQmb{t	2.0	wombat	N	51908
jEtI	2.0	yeti	N	52301
jQb	2.0	yob	N	52312
j5dP	2.0	yodel	V	52315
zibu	2.0	zebu	N	52390
1g#R	3.0	agar	N	763
@lVmn@	3.0	alumna	N	1204
{mf@r@	3.0	amphora	N	1333
{Ng@stjU@r@	3.0	angostura	N	1474
{nTr{ks	3.0	anthrax	N	1603
#_@nt	3.0	argent	N	1978
{v5sEt	3.0	avocet	N	2660
b{kSiS	3.0	baksheesh	N	2916
b{l@l#Ik@	3.0	balalaika	N	2918
b{st	3.0	bast	N	3267
bibQp	3.0	bebop	N	3458
bEvP	3.0	bevel	N	3825
bIzm@T	3.0	bismuth	N	4063
bQmb{st	3.0	bombast	N	4625
br{g@d5JI5	3.0	braggadocio	N	4992
k@bus	3.0	caboose	N	5912
k#Iik	3.0	caique	N	5968
k{mIs5l	3.0	camisole	N	6104
k@n{st@	3.0	canasta	N	6153
k{t@w$l	3.0	caterwaul	V	6666
JQk	3.0	chock	N	7403
s3k	3.0	cirque	N	7626
kQdzwQl@p	3.0	codswallop	N	8206
kQIf	3.0	coif	N	8274
k$gI	3.0	corgi	N	9744
kQS	3.0	cosh	N	9884
kug@R	3.0	cougar	N	9969
kr1k	3.0	crake	N	10231
krI@s5t	3.0	creosote	N	10382
k3mV_@n	3.0	curmudgeon	N	10829
kVsp	3.0	cusp	N	10877
d$b	3.0	daub	N	11201
d$fIn	3.0	dauphin	N	11210
d3v	3.0	derv	N	11976
dIn	3.0	din	V	12431
dINg5	3.0	dingo	N	12446
f{l5	3.0	fallow	N	16052
fik@nd	3.0	fecund	A	16318
fIl1	3.0	filet	N	16613
fIs#Il	3.0	fissile	A	16856
fQr@d@R	3.0	forrader	B	17641
f@suT	3.0	forsooth	B	17644
fr{zP	3.0	frazzle	N	17857
frIk@si	3.0	fricassee	N	18013
frVmp	3.0	frump	N	18161
f3z	3.0	furze	N	18344
g@lVmf	3.0	galumph	V	18467
g{skIt	3.0	gasket	N	18591
g$k	3.0	gawk	N	18649
g@zib5	3.0	gazebo	N	18659
gEk5	3.0	gecko	N	18677
_El@tIn	3.0	gelatin	N	18689
guf	3.0	goof	N	19345
grQt	3.0	grot	N	19770
gVsIt	3.0	gusset	N	20015
h{kP	3.0	hackle	N	20091
h{rId@n	3.0	harridan	N	20513
hEn@	3.0	henna	N	20937
hjU@rIstIk	3.0	heuristic	A	21052
hQd	3.0	hod	N	21330
hU@rI	3.0	houri	N	21722
hQIdH	3.0	hoyden	N	21813
INgPnUk	3.0	inglenook	N	23267
_@pQnIk@	3.0	japonica	N	24258
_I_un	3.0	jejune	A	24305
_INg5	3.0	jingo	N	24401
k{p@	3.0	kappa	N	24682
k#I{k	3.0	kayak	N	24691
kUkrI	3.0	kukri	N	25045
l@krQs	3.0	lacrosse	N	25120
l@kjun@	3.0	lacuna	N	25126
l#m1	3.0	lame	N	25184
l{rI@t	3.0	lariat	N	25320
lIt@r#ti	3.0	literati	N	26285
lusHt	3.0	lucent	A	26805
l#IJi	3.0	lychee	N	26937
m@k{d@m	3.0	macadam	N	26966
m{gm@	3.0	magma	N	27048
m#_QN	3.0	mahjong	N	27088
m@jQlIk@	3.0	majolica	N	27143
m{ntIl@R	3.0	mantilla	N	27387
m{st@dQn	3.0	mastodon	N	27652
m{JIt	3.0	matchet	N	27665
mizQn	3.0	meson	N	28100
mETIl	3.0	methyl	N	28174
mINks	3.0	minx	N	28552
m#It@R	3.0	mitre	N	28738
m5n5	3.0	mono	A	28960
mQpIt	3.0	moppet	N	29074
m@rQk5	3.0	morocco	N	29127
mVgInz	3.0	muggins	N	29400
mVl	3.0	mull	N	29415
mVrIn	3.0	murrain	N	29493
mVt	3.0	mutt	N	29578
n{fT@	3.0	naphtha	N	29694
n{t@R	3.0	natter	V	29774
n#I@sIn	3.0	niacin	N	30139
5st	3.0	oast	N	30760
5bI	3.0	obi	N	30783
$rI@nt	3.0	orient	A	31474
Qr5tVnd	3.0	orotund	A	31507
$t@l@n	3.0	ortolan	N	31525
p{ndIt	3.0	pandit	N	32243
p@pus	3.0	papoose	N	32320
p#l@s	3.0	parlous	A	32474
pElis	3.0	pelisse	N	32989
pEmIk@n	3.0	pemmican	N	33003
pI@rI	3.0	peri	N	33196
pIk@lIlI	3.0	piccalilli	N	33675
pIpIt	3.0	pipit	N	33938
pl#I5sin	3.0	pliocene	A	34295
plVmb1g5	3.0	plumbago	N	34344
p@lItIk5	3.0	politico	N	34571
p5m{nd@R	3.0	pomander	N	34640
pQmpQm	3.0	pompom	N	34651
puv	3.0	poove	N	34712
pQp@	3.0	poppa	N	34734
kwQd	3.0	quad	N	36728
r{gl@n	3.0	raglan	A	37102
ri	3.0	re	P	37391
rEv	3.0	rev	N	38675
r{ps@dI	3.0	rhapsody	N	38781
rIzQt5	3.0	risotto	N	39037
rUbEl@	3.0	rubella	N	39496
rVmI	3.0	rummy	N	39576
s{mp{n	3.0	sampan	N	39956
s{v@lQI	3.0	saveloy	N	40159
s{ks	3.0	sax	N	40189
sk#p	3.0	scarp	N	40281
sk#U	3.0	scow	N	40462
skr{g	3.0	scrag	N	40468
skrImp	3.0	scrimp	V	40535
skVt	3.0	scut	N	40614
sEn@	3.0	senna	N	41103
SIb@lET	3.0	shibboleth	N	41606
skInt	3.0	skint	A	42424
skIt	3.0	skit	N	42443
sl{t@n	3.0	slattern	N	42538
snQg	3.0	snog	V	43012
snuk	3.0	snook	N	43015
sp{m	3.0	spam	N	43559
spInEt	3.0	spinet	N	43789
spl3_	3.0	splurge	N	43887
spVNk	3.0	spunk	N	44045
stEnsP	3.0	stencil	N	44519
strQp	3.0	strop	N	45039
s@lt#n@	3.0	sultana	N	45434
sum{k	3.0	sumac	N	45440
sIrINg@	3.0	syringa	N	46066
t{b@d	3.0	tabard	N	46084
t@r{ntjUl@	3.0	tarantula	N	46352
t{r@g@n	3.0	tarragon	N	46373
tEmp@r@	3.0	tempera	N	46659
tEkst#Il	3.0	textile	A	46873
T3st	3.0	thirst	V	47088
tQf	3.0	toff	N	47585
t5pI	3.0	topi	N	47734
tQS	3.0	tosh	N	47808
trEm@l5	3.0	tremolo	N	48244
trQl@p	3.0	trollop	N	48411
t#Ik	3.0	tyke	N	48837
VltIm5	3.0	ultimo	A	48909
v{mp	3.0	vamp	N	49892
vEsIkP	3.0	vesicle	N	50152
v#I@l@	3.0	viola	N	50311
vIsId	3.0	viscid	A	50366
wQs1l	3.0	wassail	N	50850
w1str@l	3.0	wastrel	N	50867
wIT	3.0	withe	N	51846
wuf	3.0	woof	N	51956
j@hu	3.0	yahoo	N	52222
jQn	3.0	yon	A	52325
@fr1	4.0	affray	N	694
{mp	4.0	amp	N	1325
{n_#In@	4.0	angina	N	1440
{nIm@s	4.0	animus	N	1501
@nQn	4.0	anon	B	1544
#gQn	4.0	argon	N	1985
{st@rIsk	4.0	asterisk	N	2316
bE@n	4.0	bairn	N	2905
b{l#d	4.0	ballade	N	2947
b{nSi	4.0	banshee	N	3073
b{nt@m	4.0	bantam	N	3074
b{sIt	4.0	basset	N	3262
bjut	4.0	beaut	N	3441
biz@m	4.0	besom	N	3779
b@nit5	4.0	bonito	N	4668
b$st	4.0	borscht	N	4807
br{kt	4.0	bract	N	4986
brIl	4.0	brill	N	5249
k@huts	4.0	cahoots	N	5966
k{r@l	4.0	carol	V	6434
k@rQtId	4.0	carotid	A	6436
k{t@m@r{n	4.0	catamaran	N	6618
k1En	4.0	cayenne	N	6764
J#lQk	4.0	charlock	N	7078
JInJIl@	4.0	chinchilla	N	7342
klQp	4.0	clop	V	7955
kQksIks	4.0	coccyx	N	8142
kQI@R	4.0	coir	N	8290
kQmpE@R	4.0	compere	N	8755
kQnvQI	4.0	convoy	V	9598
k$nI@	4.0	cornea	N	9763
kQIpu	4.0	coypu	N	10181
krEtQn	4.0	cretonne	N	10404
krIk	4.0	crick	V	10418
kjubIt	4.0	cubit	N	10700
kVtl@s	4.0	cutlass	N	10918
dEb	4.0	deb	N	11333
dElft	4.0	delft	N	11674
dIn#I@R	4.0	denier	N	11824
dI5d#R	4.0	deodar	N	11860
d#I@dEm	4.0	diadem	N	12236
d3ndP	4.0	dirndl	N	12514
dIksI	4.0	dixie	N	13118
dQmInI	4.0	dominie	N	13281
dr@gun	4.0	dragoon	N	13537
dr1	4.0	dray	N	13599
drI@R	4.0	drear	A	13623
dju5din@m	4.0	duodenum	N	13920
Eb@nI	4.0	ebony	A	14137
IrQtIk@	4.0	erotica	N	15128
Esk{lQp	4.0	escalope	N	15153
ETIl	4.0	ethyl	N	15256
f@r#g5	4.0	farrago	N	16163
fEl1SI5	4.0	fellatio	N	16375
fIb	4.0	fib	N	16492
fInIs	4.0	finis	N	16718
fr#It	4.0	fright	V	18037
g{Ngrin	4.0	gangrene	N	18516
g#UJ5	4.0	gaucho	N	18632
gi	4.0	ghee	N	18881
gl{s1	4.0	glace	A	19000
nu	4.0	gnu	N	19161
gr{mp@s	4.0	grampus	N	19481
grEmlIn	4.0	gremlin	N	19672
gr#UJ	4.0	grouch	N	19778
h#ft	4.0	haft	N	20108
h#Iku	4.0	haiku	N	20118
h{ns@m	4.0	hansom	N	20372
h#tIbist	4.0	hartebeest	N	20525
hQl@nd	4.0	holland	N	21378
hQNk	4.0	honk	N	21508
_5k5s	4.0	jocose	A	24432
_u_Itsu	4.0	jujitsu	N	24580
lEvH	4.0	leaven	N	25627
lEksIk@n	4.0	lexicon	N	25880
lid5	4.0	lido	N	25955
lINg@m	4.0	lingam	N	26188
l#Il	4.0	lisle	N	26250
min{d	4.0	maenad	N	27025
m@rImb@	4.0	marimba	N	27459
mEld	4.0	meld	V	27932
mi#U	4.0	miaow	N	28217
m$tIs	4.0	mortise	N	29166
nQstr@m	4.0	nostrum	N	30550
n5t1t	4.0	notate	V	30562
$m5lu	4.0	ormolu	N	31494
utr1	4.0	outre	A	31674
pi@n	4.0	paean	N	32075
p{l@dIn	4.0	paladin	N	32125
p{pI	4.0	pappy	N	32321
p@r{b@l@	4.0	parabola	N	32332
p{r@kwQt	4.0	paraquat	N	32392
p3g@l@	4.0	pergola	N	33193
f{g5s#It	4.0	phagocyte	N	33465
pInIs	4.0	pinnace	N	33888
pl#Ist5sin	4.0	pleistocene	A	34262
pr5l	4.0	prole	N	35851
t#mIg@n	4.0	ptarmigan	N	36259
pjum@	4.0	puma	N	36408
pVNk@	4.0	punkah	N	36468
pIks	4.0	pyx	N	36707
kw{k	4.0	quack	V	36725
kwIbP	4.0	quibble	N	36875
rIl	4.0	rill	N	38959
r5n	4.0	roan	A	39094
rQnd5	4.0	rondo	N	39236
ru1	4.0	roue	N	39348
rubIk@nd	4.0	rubicund	A	39498
s1g5	4.0	sago	N	39826
s{tin	4.0	sateen	N	40085
